# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e-01
# Aref          : 1.00000000e-03
# CofR          : (2.00000000e-01 2.00000000e-01 5.00000000e-03)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
4.99            	3.25717761e+00	1.62858880e+00	1.62858880e+00	5.27344430e-02	4.23912045e-01	-3.71177602e-01	3.97544824e-01	1.59405351e-16	-3.27611172e-17	-2.61189198e-16	-1.63355716e-16	-9.78334817e-17
5               	3.24470542e+00	1.62235271e+00	1.62235271e+00	2.60476249e-01	4.83275478e-01	-2.22799229e-01	3.53037354e-01	1.66797780e-16	-2.97798381e-17	-2.84544339e-16	-1.72052008e-16	-1.12492332e-16
5.01            	3.30101135e+00	1.65050568e+00	1.65050568e+00	6.88410138e-01	6.21475100e-01	6.69350380e-02	2.77270031e-01	1.90543177e-16	-2.88286260e-17	-3.48277931e-16	-2.02967591e-16	-1.45310339e-16
5.02            	3.30881558e+00	1.65440779e+00	1.65440779e+00	8.38806411e-01	4.43703201e-01	3.95103210e-01	2.42999954e-02	1.93740484e-16	-2.75502263e-17	-3.63261535e-16	-2.09180994e-16	-1.54080541e-16
5.03            	3.32275314e+00	1.66137657e+00	1.66137657e+00	9.56550920e-01	2.97040440e-01	6.59510479e-01	-1.81235020e-01	1.95065747e-16	-2.77971051e-17	-3.75067659e-16	-2.15330935e-16	-1.59736725e-16
5.04            	3.33372958e+00	1.66686479e+00	1.66686479e+00	1.03513354e+00	5.46475693e-01	4.88657844e-01	2.89089250e-02	1.94658253e-16	-3.00592815e-17	-3.83165593e-16	-2.21642078e-16	-1.61523515e-16
5.05            	3.35473675e+00	1.67736837e+00	1.67736837e+00	1.06950402e+00	5.94163580e-01	4.75340439e-01	5.94115702e-02	1.92007748e-16	-3.32738366e-17	-3.86513927e-16	-2.26530800e-16	-1.59983127e-16
5.06            	3.39117921e+00	1.69558960e+00	1.69558960e+00	1.05792090e+00	1.34051162e-01	9.23869740e-01	-3.94909289e-01	1.87043483e-16	-3.65314191e-17	-3.84223592e-16	-2.28643215e-16	-1.55580377e-16
5.07            	3.41379216e+00	1.70689608e+00	1.70689608e+00	1.00005237e+00	1.98747736e-01	8.01304634e-01	-3.01278449e-01	1.80829777e-16	-4.05090615e-17	-3.75591593e-16	-2.28304858e-16	-1.47286735e-16
5.08            	3.44637203e+00	1.72318601e+00	1.72318601e+00	8.97793516e-01	-2.56298642e-01	1.15409216e+00	-7.05195400e-01	1.73155869e-16	-4.30259644e-17	-3.59771530e-16	-2.22911729e-16	-1.36859801e-16
5.09            	3.45156970e+00	1.72578485e+00	1.72578485e+00	7.55444328e-01	5.16193502e-03	7.50282393e-01	-3.72560229e-01	1.65438096e-16	-4.49593571e-17	-3.36670112e-16	-2.13294413e-16	-1.23375699e-16
5.1             	3.45617368e+00	1.72808684e+00	1.72808684e+00	5.77345993e-01	6.97250845e-03	5.70373485e-01	-2.81700488e-01	1.57765713e-16	-4.45601360e-17	-3.06697591e-16	-1.97908931e-16	-1.08788659e-16
5.11            	3.37853133e+00	1.68926567e+00	1.68926567e+00	5.61839177e-01	5.01593269e-01	6.02459076e-02	2.20673681e-01	1.74712102e-16	-2.53973932e-17	-2.91580504e-16	-1.71187645e-16	-1.20392859e-16
5.12            	3.38323393e+00	1.69161697e+00	1.69161697e+00	3.91056918e-01	2.63051919e-01	1.28004999e-01	6.75234599e-02	1.71656860e-16	-2.38168186e-17	-2.68460952e-16	-1.58047295e-16	-1.10413657e-16
5.13            	3.37143934e+00	1.68571967e+00	1.68571967e+00	2.05601672e-01	4.07830435e-01	-2.02228762e-01	3.05029598e-01	1.69033597e-16	-2.22242871e-17	-2.43644488e-16	-1.44046531e-16	-9.95979567e-17
5.14            	3.36949410e+00	1.68474705e+00	1.68474705e+00	1.22759822e-02	2.77517019e-02	-1.54757197e-02	2.16137108e-02	1.66249363e-16	-1.96058988e-17	-2.17998034e-16	-1.28604916e-16	-8.93931183e-17
5.15            	3.34858854e+00	1.67429427e+00	1.67429427e+00	-1.82285963e-01	2.16508256e-01	-3.98794219e-01	3.07651237e-01	1.63826172e-16	-1.76658382e-17	-1.92483086e-16	-1.13907381e-16	-7.85757049e-17
5.16            	3.33683256e+00	1.66841628e+00	1.66841628e+00	-3.71133918e-01	4.85285121e-02	-4.19662430e-01	2.34095471e-01	1.61053981e-16	-1.55594185e-17	-1.68196980e-16	-9.96579085e-17	-6.85390714e-17
5.17            	3.33309493e+00	1.66654746e+00	1.66654746e+00	-5.47594426e-01	-3.54329945e-01	-1.93264481e-01	-8.05327323e-02	1.57865472e-16	-1.38044213e-17	-1.46234716e-16	-8.69217793e-17	-5.93129366e-17
5.18            	3.31743308e+00	1.65871654e+00	1.65871654e+00	-7.05480708e-01	-2.09303664e-01	-4.96177045e-01	1.43436691e-01	1.54647542e-16	-1.37096904e-17	-1.27591782e-16	-7.75055815e-17	-5.00862008e-17
5.19            	3.31213205e+00	1.65606603e+00	1.65606603e+00	-8.39167059e-01	-2.66504601e-01	-5.72662458e-01	1.53078929e-01	1.50958804e-16	-1.44742094e-17	-1.13096629e-16	-7.10225237e-17	-4.20741050e-17
5.2             	3.32377390e+00	1.66188695e+00	1.66188695e+00	-9.43995608e-01	-7.42380775e-01	-2.01614833e-01	-2.70382971e-01	1.46781165e-16	-1.58318356e-17	-1.03320329e-16	-6.74919998e-17	-3.58283287e-17
5.21            	3.22493956e+00	1.61246978e+00	1.61246978e+00	-1.16139679e+00	-8.01025829e-01	-3.60370957e-01	-2.20327436e-01	1.20064309e-16	-1.34682496e-17	-4.31861415e-17	-3.50613204e-17	-8.12482118e-18
5.22            	3.23259237e+00	1.61629618e+00	1.61629618e+00	-1.25536395e+00	-9.95712779e-01	-2.59651170e-01	-3.68030804e-01	1.15983471e-16	-1.53236982e-17	-3.47859980e-17	-3.27166972e-17	-2.06930078e-18
5.23            	3.22468949e+00	1.61234474e+00	1.61234474e+00	-1.31068609e+00	-5.10633808e-01	-8.00052287e-01	1.44709239e-01	1.13260952e-16	-1.87630371e-17	-3.28710696e-17	-3.51985719e-17	2.32750230e-18
5.24            	3.24251203e+00	1.62125601e+00	1.62125601e+00	-1.32524714e+00	-8.64488206e-01	-4.60758937e-01	-2.01864634e-01	1.11219062e-16	-2.15813374e-17	-3.74850655e-17	-4.03238701e-17	2.83880466e-18
5.25            	3.23971011e+00	1.61985506e+00	1.61985506e+00	-1.29828206e+00	-4.51985018e-01	-8.46297043e-01	1.97156012e-01	1.11034535e-16	-2.55603485e-17	-4.83744766e-17	-4.97475868e-17	1.37311023e-18
5.26            	3.23817428e+00	1.61908714e+00	1.61908714e+00	-1.23065232e+00	-1.08720654e-01	-1.12193167e+00	5.06605507e-01	1.12333270e-16	-2.93043733e-17	-6.49738112e-17	-6.17912789e-17	-3.18253227e-18
5.27            	3.24659860e+00	1.62329930e+00	1.62329930e+00	-1.12449211e+00	-1.86852262e-01	-9.37639849e-01	3.75393794e-01	1.14950729e-16	-3.20694826e-17	-8.65080440e-17	-7.53235046e-17	-1.11845394e-17
5.28            	3.26012422e+00	1.63006211e+00	1.63006211e+00	-9.83033103e-01	-5.38432180e-01	-4.44600923e-01	-4.69156282e-02	1.18942443e-16	-3.38100565e-17	-1.12062914e-16	-8.98415137e-17	-2.22214006e-17
5.29            	3.24445369e+00	1.62222684e+00	1.62222684e+00	-8.10487742e-01	5.28568034e-02	-8.63344545e-01	4.58100674e-01	1.24932234e-16	-3.59289420e-17	-1.40641820e-16	-1.06249852e-16	-3.43919682e-17
5.3             	3.24006765e+00	1.62003382e+00	1.62003382e+00	-6.12324463e-01	1.39450916e-01	-7.51775380e-01	4.45613148e-01	1.31850714e-16	-3.64481327e-17	-1.71150334e-16	-1.22023300e-16	-4.91270343e-17
5.31            	3.25929046e+00	1.62964523e+00	1.62964523e+00	-2.72413593e-01	2.24524459e-01	-4.96938052e-01	3.60731256e-01	1.48721242e-16	-3.43133824e-17	-2.21170973e-16	-1.44898869e-16	-7.62721039e-17
5.32            	3.24062893e+00	1.62031447e+00	1.62031447e+00	-4.25118747e-02	5.82352871e-01	-6.24864745e-01	6.03608808e-01	1.57262781e-16	-3.28105449e-17	-2.50289881e-16	-1.57955485e-16	-9.23343955e-17
5.33            	3.23111955e+00	1.61555978e+00	1.61555978e+00	1.90173544e-01	6.48179368e-01	-4.58005824e-01	5.53092596e-01	1.65462558e-16	-3.07911636e-17	-2.78523396e-16	-1.70052862e-16	-1.08470534e-16
5.34            	3.22849590e+00	1.61424795e+00	1.61424795e+00	4.16918341e-01	5.36802690e-01	-1.19884349e-01	3.28343519e-01	1.72942285e-16	-2.86363891e-17	-3.04971942e-16	-1.81122360e-16	-1.23849582e-16
5.35            	3.21839633e+00	1.60919817e+00	1.60919817e+00	6.29231988e-01	7.87172203e-01	-1.57940215e-01	4.72556209e-01	1.79647485e-16	-2.72339886e-17	-3.28819465e-16	-1.91643721e-16	-1.37175744e-16
5.36            	3.21696322e+00	1.60848161e+00	1.60848161e+00	8.19350085e-01	8.38578987e-01	-1.92289022e-02	4.28903945e-01	1.84960403e-16	-2.59872279e-17	-3.49368309e-16	-2.00671382e-16	-1.48696927e-16
5.37            	3.21977379e+00	1.60988689e+00	1.60988689e+00	9.80602276e-01	8.54997967e-01	1.25604310e-01	3.64696828e-01	1.88817117e-16	-2.51540997e-17	-3.66024577e-16	-2.08166388e-16	-1.57858189e-16
5.38            	3.22481697e+00	1.61240848e+00	1.61240848e+00	1.10766123e+00	9.01576132e-01	2.06085100e-01	3.47745516e-01	1.91222857e-16	-2.47789772e-17	-3.78311488e-16	-2.13934721e-16	-1.64376767e-16
5.39            	3.24255081e+00	1.62127540e+00	1.62127540e+00	1.19677796e+00	5.82821322e-01	6.13956637e-01	-1.55676577e-02	1.92034828e-16	-2.42249611e-17	-3.85877871e-16	-2.17163896e-16	-1.68713974e-16
5.4             	3.24740460e+00	1.62370230e+00	1.62370230e+00	1.24570657e+00	7.77203279e-01	4.68503291e-01	1.54349994e-01	1.91984785e-16	-2.44418320e-17	-3.88490336e-16	-2.18687000e-16	-1.69803336e-16
5.41            	3.23672976e+00	1.61836488e+00	1.61836488e+00	1.16574594e+00	2.76867323e-01	8.88878618e-01	-3.06005647e-01	1.90069116e-16	-1.81497064e-17	-3.66292477e-16	-2.01295945e-16	-1.64996532e-16
5.42            	3.23196982e+00	1.61598491e+00	1.61598491e+00	1.13298467e+00	7.72744063e-01	3.60240605e-01	2.06251729e-01	1.88846836e-16	-1.84390102e-17	-3.58430766e-16	-1.97654393e-16	-1.60776373e-16
5.43            	3.24117610e+00	1.62058805e+00	1.62058805e+00	1.06118773e+00	7.15834273e-01	3.45353461e-01	1.85240406e-01	1.86544779e-16	-1.79428274e-17	-3.46056162e-16	-1.90970908e-16	-1.55085254e-16
5.44            	3.25964744e+00	1.62982372e+00	1.62982372e+00	9.53549746e-01	2.27461850e-01	7.26087896e-01	-2.49313023e-01	1.83471036e-16	-1.66721294e-17	-3.29552549e-16	-1.81448404e-16	-1.48104145e-16
5.45            	3.27044418e+00	1.63522209e+00	1.63522209e+00	8.14448318e-01	-1.19698225e-01	9.34146543e-01	-5.26922384e-01	1.80158167e-16	-1.52780398e-17	-3.09421105e-16	-1.69988592e-16	-1.39432513e-16
5.46            	3.26159069e+00	1.63079534e+00	1.63079534e+00	6.49186340e-01	8.91488997e-02	5.60037440e-01	-2.35444270e-01	1.76975657e-16	-1.42815859e-17	-2.86271094e-16	-1.57417133e-16	-1.28853961e-16
5.47            	3.25553420e+00	1.62776710e+00	1.62776710e+00	4.63743537e-01	5.75516966e-02	4.06191840e-01	-1.74320072e-01	1.73491891e-16	-1.27138419e-17	-2.60816454e-16	-1.43122069e-16	-1.17694385e-16
5.48            	3.23482451e+00	1.61741226e+00	1.61741226e+00	2.64956530e-01	4.36860076e-01	-1.71903545e-01	3.04381810e-01	1.70103184e-16	-1.15636988e-17	-2.33942719e-16	-1.28535058e-16	-1.05407661e-16
5.49            	3.23657752e+00	1.61828876e+00	1.61828876e+00	5.93822589e-02	-5.89234216e-02	1.18305680e-01	-8.86145510e-02	1.65966506e-16	-9.37761972e-18	-2.06556109e-16	-1.12655674e-16	-9.39004347e-17
5.5             	3.21356235e+00	1.60678117e+00	1.60678117e+00	-1.45923034e-01	3.09177441e-01	-4.55100475e-01	3.82138958e-01	1.62063853e-16	-8.65531961e-18	-1.79692782e-16	-9.85017106e-17	-8.11910713e-17
5.51            	3.21382207e+00	1.60691104e+00	1.60691104e+00	-4.31406826e-01	-6.53484821e-01	2.22077995e-01	-4.37781408e-01	1.40178127e-16	-1.23228253e-17	-1.33377914e-16	-7.90117820e-17	-5.43661315e-17
5.52            	3.20089450e+00	1.60044725e+00	1.60044725e+00	-6.48578236e-01	-5.96030821e-01	-5.25474156e-02	-2.71741703e-01	1.33372285e-16	-1.18316195e-17	-1.03438362e-16	-6.35508005e-17	-3.98875616e-17
5.53            	3.18833747e+00	1.59416873e+00	1.59416873e+00	-8.47860449e-01	-4.72691817e-01	-3.75168631e-01	-4.87615931e-02	1.26795417e-16	-1.19775123e-17	-7.67353923e-17	-5.03452084e-17	-2.63901839e-17
5.54            	3.18618608e+00	1.59309304e+00	1.59309304e+00	-1.02271752e+00	-5.99167681e-01	-4.23549836e-01	-8.78089226e-02	1.20401804e-16	-1.25369546e-17	-5.44223310e-17	-3.97481201e-17	-1.46742109e-17
5.55            	3.18323903e+00	1.59161951e+00	1.59161951e+00	-1.16726099e+00	-5.47948206e-01	-6.19312786e-01	3.56822901e-02	1.14641420e-16	-1.41551789e-17	-3.74737589e-17	-3.28920584e-17	-4.58170050e-18
5.56            	3.18567742e+00	1.59283871e+00	1.59283871e+00	-1.27666808e+00	-5.36974567e-01	-7.39693517e-01	1.01359475e-01	1.09614113e-16	-1.65221854e-17	-2.65875011e-17	-2.98159359e-17	3.22843484e-18
5.57            	3.18654211e+00	1.59327105e+00	1.59327105e+00	-1.34738076e+00	-3.39945252e-01	-1.00743551e+00	3.33745128e-01	1.05711649e-16	-1.97832014e-17	-2.21456024e-17	-3.08560025e-17	8.71040017e-18
5.58            	3.20220963e+00	1.60110481e+00	1.60110481e+00	-1.37726170e+00	-5.85721331e-01	-7.91540373e-01	1.02909521e-01	1.02805042e-16	-2.28796850e-17	-2.42019153e-17	-3.49806427e-17	1.07787274e-17
5.59            	3.20024415e+00	1.60012208e+00	1.60012208e+00	-1.36550971e+00	-1.67183848e-01	-1.19832586e+00	5.15571007e-01	1.01778296e-16	-2.69487186e-17	-3.25243300e-17	-4.32108836e-17	1.06865536e-17
5.6             	3.20921020e+00	1.60460510e+00	1.60460510e+00	-1.31293503e+00	-1.58225865e-01	-1.15470917e+00	4.98241652e-01	1.02119646e-16	-3.02928962e-17	-4.65839755e-17	-5.35848839e-17	7.00090844e-18
5.61            	3.22043311e+00	1.61021656e+00	1.61021656e+00	-1.22147220e+00	-2.89751412e-01	-9.31720787e-01	3.20984688e-01	1.04052275e-16	-3.29817318e-17	-6.56708581e-17	-6.58171609e-17	1.46302770e-19
5.62            	3.21943109e+00	1.60971555e+00	1.60971555e+00	-1.09418046e+00	-7.02936040e-02	-1.02388686e+00	4.76796627e-01	1.07848518e-16	-3.54230415e-17	-8.89293166e-17	-7.98876998e-17	-9.04161680e-18
5.63            	3.22482319e+00	1.61241159e+00	1.61241159e+00	-9.35305574e-01	-1.78685522e-01	-7.56620052e-01	2.88967265e-01	1.12987607e-16	-3.65707714e-17	-1.15381234e-16	-9.42613883e-17	-2.11198455e-17
5.64            	3.22587494e+00	1.61293747e+00	1.61293747e+00	-7.49946361e-01	-2.33517577e-01	-5.16428784e-01	1.41455603e-01	1.19522226e-16	-3.68196862e-17	-1.44012802e-16	-1.08826087e-16	-3.51867148e-17
5.65            	3.21999266e+00	1.60999633e+00	1.60999633e+00	-5.44074859e-01	-1.36283382e-01	-4.07791477e-01	1.35754048e-01	1.27269836e-16	-3.62723064e-17	-1.73797206e-16	-1.23170909e-16	-5.06262966e-17
5.66            	3.20427968e+00	1.60213984e+00	1.60213984e+00	-3.24345556e-01	2.30191920e-01	-5.54537476e-01	3.92364698e-01	1.36000313e-16	-3.51370718e-17	-2.03742010e-16	-1.37008077e-16	-6.67339331e-17
5.67            	3.19287836e+00	1.59643918e+00	1.59643918e+00	-9.78984974e-02	3.83541324e-01	-4.81439822e-01	4.32490573e-01	1.45070415e-16	-3.29314458e-17	-2.32923143e-16	-1.49393017e-16	-8.35301256e-17
5.68            	3.17786750e+00	1.58893375e+00	1.58893375e+00	1.27992706e-01	6.41885399e-01	-5.13892693e-01	5.77889046e-01	1.54286966e-16	-3.02899851e-17	-2.60530618e-16	-1.60555294e-16	-9.99753236e-17
5.69            	3.17154424e+00	1.58577212e+00	1.58577212e+00	3.46079768e-01	6.09728295e-01	-2.63648527e-01	4.36688411e-01	1.63015165e-16	-2.69823564e-17	-2.85871695e-16	-1.69918204e-16	-1.15953491e-16
5.7             	3.15800960e+00	1.57900480e+00	1.57900480e+00	5.49400328e-01	9.03684897e-01	-3.54284568e-01	6.28984733e-01	1.71251820e-16	-2.41143886e-17	-3.08379114e-16	-1.78303946e-16	-1.30075168e-16
5.71            	3.15363703e+00	1.57681851e+00	1.57681851e+00	7.31499002e-01	9.79332259e-01	-2.47833258e-01	6.13582759e-01	1.78354630e-16	-2.12660851e-17	-3.27608056e-16	-1.85070113e-16	-1.42537943e-16
5.72            	3.15578046e+00	1.57789023e+00	1.57789023e+00	8.86634176e-01	9.54890424e-01	-6.82562483e-02	5.11573336e-01	1.84166617e-16	-1.88121956e-17	-3.43218681e-16	-1.90421536e-16	-1.52797145e-16
5.73            	3.16558637e+00	1.58279319e+00	1.58279319e+00	1.00989233e+00	7.88346084e-01	2.21546247e-01	2.83399918e-01	1.88530790e-16	-1.68253737e-17	-3.54945350e-16	-1.94298049e-16	-1.60647301e-16
5.74            	3.17417696e+00	1.58708848e+00	1.58708848e+00	1.09740137e+00	7.70846367e-01	3.26555002e-01	2.22145683e-01	1.91582350e-16	-1.57043767e-17	-3.62577904e-16	-1.96993329e-16	-1.65584576e-16
5.75            	3.17669262e+00	1.58834631e+00	1.58834631e+00	1.14642966e+00	1.02990557e+00	1.16524089e-01	4.56690740e-01	1.93422479e-16	-1.55413757e-17	-3.65931441e-16	-1.98507096e-16	-1.67424345e-16
5.76            	3.18696039e+00	1.59348020e+00	1.59348020e+00	1.15548875e+00	1.01621385e+00	1.39274902e-01	4.38469472e-01	1.93783859e-16	-1.54821789e-17	-3.64843120e-16	-1.97903739e-16	-1.66939381e-16
5.77            	3.20210540e+00	1.60105270e+00	1.60105270e+00	1.12450830e+00	7.80587882e-01	3.43920414e-01	2.18333734e-01	1.92782350e-16	-1.54140382e-17	-3.59201069e-16	-1.95014573e-16	-1.64186496e-16
5.78            	3.21417634e+00	1.60708817e+00	1.60708817e+00	1.05490384e+00	5.68144783e-01	4.86759054e-01	4.06928645e-02	1.90664386e-16	-1.54720505e-17	-3.48986340e-16	-1.89965221e-16	-1.59021119e-16
5.79            	3.21348026e+00	1.60674013e+00	1.60674013e+00	9.49388220e-01	7.02641665e-01	2.46746555e-01	2.27947555e-01	1.87727627e-16	-1.59153372e-17	-3.34292127e-16	-1.83061400e-16	-1.51230726e-16
5.8             	3.22514579e+00	1.61257290e+00	1.61257290e+00	8.11779914e-01	2.77714163e-01	5.34065751e-01	-1.28175794e-01	1.83532303e-16	-1.54478353e-17	-3.15352900e-16	-1.73124285e-16	-1.42228615e-16
5.81            	3.20746778e+00	1.60373389e+00	1.60373389e+00	6.25194972e-01	5.69603597e-01	5.55913748e-02	2.57006111e-01	1.76893961e-16	-1.35588818e-17	-2.83263152e-16	-1.55190458e-16	-1.28072694e-16
5.82            	3.19724420e+00	1.59862210e+00	1.59862210e+00	4.37238633e-01	7.24596285e-01	-2.87357652e-01	5.05976968e-01	1.72841474e-16	-1.30310387e-17	-2.58600053e-16	-1.42331065e-16	-1.16268988e-16
5.83            	3.19977779e+00	1.59988890e+00	1.59988890e+00	2.37401892e-01	3.15468007e-01	-7.80661146e-02	1.96767061e-01	1.68138285e-16	-1.15753187e-17	-2.32213771e-16	-1.27682204e-16	-1.04531567e-16
5.84            	3.18015194e+00	1.59007597e+00	1.59007597e+00	3.25382767e-02	6.24292765e-01	-5.91754488e-01	6.08023626e-01	1.63595299e-16	-1.09785409e-17	-2.04987553e-16	-1.13472317e-16	-9.15152355e-17
5.85            	3.18442544e+00	1.59221272e+00	1.59221272e+00	-1.70620724e-01	4.63202812e-02	-2.16941005e-01	1.31630643e-01	1.58266258e-16	-9.34751636e-18	-1.77915455e-16	-9.83052438e-17	-7.96102111e-17
5.86            	3.17788540e+00	1.58894270e+00	1.58894270e+00	-3.65357815e-01	-1.30106342e-01	-2.35251472e-01	5.25725651e-02	1.52963408e-16	-8.56324479e-18	-1.52087053e-16	-8.46067712e-17	-6.74802816e-17
5.87            	3.17162490e+00	1.58581245e+00	1.58581245e+00	-5.45456734e-01	-2.55102959e-01	-2.90353775e-01	1.76254079e-02	1.47521416e-16	-8.38328457e-18	-1.28575548e-16	-7.26710588e-17	-5.59044896e-17
5.88            	3.16711056e+00	1.58355528e+00	1.58355528e+00	-7.05072642e-01	-3.40904820e-01	-3.64167822e-01	1.16315007e-02	1.42023900e-16	-8.95881520e-18	-1.08404575e-16	-6.31611026e-17	-4.52434722e-17
5.89            	3.16489002e+00	1.58244501e+00	1.58244501e+00	-8.39180216e-01	-3.78995369e-01	-4.60184847e-01	4.05947389e-02	1.36608112e-16	-1.03948004e-17	-9.24360985e-17	-5.66128497e-17	-3.58232488e-17
5.9             	3.16884935e+00	1.58442467e+00	1.58442467e+00	-9.43336641e-01	-4.97363558e-01	-4.45973083e-01	-2.56952377e-02	1.31397903e-16	-1.25228490e-17	-8.13758341e-17	-5.32107660e-17	-2.81650681e-17
5.91            	3.22968581e+00	1.61484290e+00	1.61484290e+00	-9.81101584e-01	-7.81084001e-02	-9.02993184e-01	4.12442392e-01	1.36975128e-16	-1.62918245e-17	-9.46108570e-17	-6.35972530e-17	-3.10136040e-17
5.92            	3.27194362e+00	1.63597181e+00	1.63597181e+00	-9.56222982e-01	-5.23163361e-01	-4.33059622e-01	-4.50518696e-02	1.35876342e-16	-2.24142915e-17	-1.09427469e-16	-7.71280262e-17	-3.22994432e-17
5.93            	3.29873373e+00	1.64936686e+00	1.64936686e+00	-8.97303778e-01	-4.50495383e-01	-4.46808396e-01	-1.84349349e-03	1.35658187e-16	-2.91642845e-17	-1.27967693e-16	-9.31481310e-17	-3.48195620e-17
5.94            	3.31811767e+00	1.65905884e+00	1.65905884e+00	-8.08082948e-01	-2.76147832e-01	-5.31935116e-01	1.27893642e-01	1.36278458e-16	-3.52706655e-17	-1.48791975e-16	-1.09666653e-16	-3.91253220e-17
5.95            	3.32298267e+00	1.66149134e+00	1.66149134e+00	-6.93549532e-01	1.19100277e-01	-8.12649809e-01	4.65875043e-01	1.37889545e-16	-4.02557827e-17	-1.70382379e-16	-1.25446972e-16	-4.49354066e-17
5.96            	3.32930786e+00	1.66465393e+00	1.66465393e+00	-5.59309162e-01	1.37734994e-01	-6.97044156e-01	4.17389575e-01	1.40181045e-16	-4.29511781e-17	-1.91536759e-16	-1.38719558e-16	-5.28172015e-17
5.97            	3.32865578e+00	1.66432789e+00	1.66432789e+00	-4.11724377e-01	9.47339237e-02	-5.06458301e-01	3.00596112e-01	1.43205858e-16	-4.36556937e-17	-2.11246141e-16	-1.49278764e-16	-6.19673770e-17
5.98            	3.32257629e+00	1.66128815e+00	1.66128815e+00	-2.57530180e-01	-1.60491186e-02	-2.41481061e-01	1.12715971e-01	1.46681091e-16	-4.25465744e-17	-2.28819673e-16	-1.56956411e-16	-7.18632621e-17
5.99            	3.30798331e+00	1.65399165e+00	1.65399165e+00	-1.02389261e-01	6.74203841e-02	-1.69809645e-01	1.18615015e-01	1.50532630e-16	-4.04302453e-17	-2.44235024e-16	-1.62547757e-16	-8.16872668e-17
6               	3.30435338e+00	1.65217669e+00	1.65217669e+00	4.76374865e-02	-2.35639296e-01	2.83276782e-01	-2.59458039e-01	1.54074022e-16	-3.71531002e-17	-2.57564756e-16	-1.65935478e-16	-9.16292776e-17
6.01            	3.22234248e+00	1.61117124e+00	1.61117124e+00	1.35668607e-01	4.36572975e-01	-3.00904368e-01	3.68738671e-01	1.51535063e-16	-3.38163706e-17	-2.60379080e-16	-1.64005911e-16	-9.63731694e-17
6.02            	3.21065996e+00	1.60532998e+00	1.60532998e+00	3.02795275e-01	5.61276708e-01	-2.58481433e-01	4.09879070e-01	1.57675375e-16	-3.10053083e-17	-2.77827954e-16	-1.69919285e-16	-1.07908669e-16
6.03            	3.21028424e+00	1.60514212e+00	1.60514212e+00	4.57307027e-01	3.03109990e-01	1.54197037e-01	7.44564765e-02	1.63262746e-16	-2.75091603e-17	-2.92810367e-16	-1.73914344e-16	-1.18896023e-16
6.04            	3.19461113e+00	1.59730556e+00	1.59730556e+00	5.93362282e-01	6.62668069e-01	-6.93057868e-02	3.65986928e-01	1.68540756e-16	-2.49687808e-17	-3.05010001e-16	-1.77473781e-16	-1.27536220e-16
6.05            	3.19338571e+00	1.59669286e+00	1.59669286e+00	7.05697642e-01	6.14503096e-01	9.11945458e-02	2.61654275e-01	1.72599180e-16	-2.23411024e-17	-3.14177062e-16	-1.79429633e-16	-1.34747428e-16
6.06            	3.18908640e+00	1.59454320e+00	1.59454320e+00	7.90183825e-01	8.05175417e-01	-1.49915919e-02	4.10083504e-01	1.75642731e-16	-2.06494932e-17	-3.20148893e-16	-1.80723940e-16	-1.39424953e-16
6.07            	3.19396565e+00	1.59698283e+00	1.59698283e+00	8.43630680e-01	7.94205141e-01	4.94255385e-02	3.72389801e-01	1.77322946e-16	-1.93930672e-17	-3.22786488e-16	-1.80786311e-16	-1.42000177e-16
6.08            	3.20033347e+00	1.60016674e+00	1.60016674e+00	8.64246150e-01	8.31217386e-01	3.30287639e-02	3.99094311e-01	1.77829925e-16	-1.88428288e-17	-3.22020452e-16	-1.79853055e-16	-1.42167397e-16
6.09            	3.21332721e+00	1.60666361e+00	1.60666361e+00	8.51410870e-01	6.88375069e-01	1.63035801e-01	2.62669634e-01	1.77151667e-16	-1.85547938e-17	-3.17816401e-16	-1.77462994e-16	-1.40353407e-16
6.1             	3.22020590e+00	1.61010295e+00	1.61010295e+00	8.05848177e-01	7.64601237e-01	4.12469398e-02	3.61677149e-01	1.75724306e-16	-1.88275074e-17	-3.10203622e-16	-1.73929318e-16	-1.36274304e-16
6.11            	3.24460440e+00	1.62230220e+00	1.62230220e+00	7.58936399e-01	5.22794187e-01	2.36142211e-01	1.43325988e-01	1.71462104e-16	-2.08693623e-17	-3.05405481e-16	-1.73572103e-16	-1.31833378e-16
6.12            	3.24523037e+00	1.62261519e+00	1.62261519e+00	6.56995475e-01	6.00254188e-01	5.67412874e-02	2.71756450e-01	1.69831675e-16	-1.96720113e-17	-2.90399707e-16	-1.64871865e-16	-1.25527842e-16
