# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e-01
# Aref          : 1.00000000e-03
# CofR          : (2.00000000e-01 2.00000000e-01 5.00000000e-03)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
4.22            	3.25011889e+00	1.62505945e+00	1.62505945e+00	-8.05204522e-01	-1.77896956e-01	-6.27307566e-01	2.24705305e-01	1.47371269e-16	-1.70738334e-17	-1.26508395e-16	-8.03280307e-17	-4.61803639e-17
4.23            	3.27375425e+00	1.63687713e+00	1.63687713e+00	-7.91166815e-01	-1.65991656e-02	-7.74567650e-01	3.78984242e-01	1.46182775e-16	-2.40620105e-17	-1.40087919e-16	-9.41059701e-17	-4.59819492e-17
4.24            	3.28750911e+00	1.64375455e+00	1.64375455e+00	-7.45786104e-01	3.76167340e-01	-1.12195344e+00	7.49060392e-01	1.45735721e-16	-3.09086222e-17	-1.56461564e-16	-1.09139404e-16	-4.73221600e-17
4.25            	3.33290221e+00	1.66645110e+00	1.66645110e+00	-6.70669042e-01	-6.01647991e-01	-6.90210502e-02	-2.66313471e-01	1.45377796e-16	-3.48431777e-17	-1.74614635e-16	-1.22150495e-16	-5.24641397e-17
4.26            	3.31754970e+00	1.65877485e+00	1.65877485e+00	-5.68440314e-01	2.60249899e-01	-8.28690213e-01	5.44470056e-01	1.47239241e-16	-3.94545686e-17	-1.93500394e-16	-1.36204765e-16	-5.72956282e-17
4.27            	3.31552084e+00	1.65776042e+00	1.65776042e+00	-4.43547197e-01	2.81307789e-01	-7.24854985e-01	5.03081387e-01	1.49731617e-16	-4.09374543e-17	-2.12086103e-16	-1.46980506e-16	-6.51055971e-17
4.28            	3.32516025e+00	1.66258013e+00	1.66258013e+00	-3.00148741e-01	-4.33430234e-01	1.33281493e-01	-2.83355863e-01	1.52806732e-16	-3.94329180e-17	-2.29786914e-16	-1.54326375e-16	-7.54605389e-17
4.29            	3.29434601e+00	1.64717301e+00	1.64717301e+00	-1.43703173e-01	7.12426079e-02	-2.14945781e-01	1.43094195e-01	1.57321640e-16	-3.78310591e-17	-2.46281397e-16	-1.60971758e-16	-8.53096396e-17
4.3             	3.28397823e+00	1.64198911e+00	1.64198911e+00	1.89975298e-02	-2.16694841e-01	2.35692370e-01	-2.26193605e-01	1.61625230e-16	-3.42047861e-17	-2.61576856e-16	-1.64993214e-16	-9.65836420e-17
4.31            	3.21365063e+00	1.60682531e+00	1.60682531e+00	2.16301475e-01	5.89039270e-01	-3.72737795e-01	4.80888532e-01	1.75866403e-16	-2.71133266e-17	-2.90284523e-16	-1.72255588e-16	-1.18028935e-16
4.32            	3.22583273e+00	1.61291636e+00	1.61291636e+00	4.34272106e-01	6.53719303e-03	4.27734913e-01	-2.10598860e-01	1.83789133e-16	-2.42611773e-17	-3.18005369e-16	-1.83263862e-16	-1.34741507e-16
4.33            	3.21620261e+00	1.60810131e+00	1.60810131e+00	6.53139588e-01	1.93166373e-01	4.59973214e-01	-1.33403421e-01	1.92046058e-16	-2.20426394e-17	-3.44514636e-16	-1.94299957e-16	-1.50214678e-16
4.34            	3.20073872e+00	1.60036936e+00	1.60036936e+00	8.65978973e-01	6.22240737e-01	2.43738236e-01	1.89251250e-01	1.99937179e-16	-2.00316863e-17	-3.69084340e-16	-2.04573857e-16	-1.64510484e-16
4.35            	3.20431592e+00	1.60215796e+00	1.60215796e+00	1.06575924e+00	4.47517289e-01	6.18241948e-01	-8.53623297e-02	2.06604486e-16	-1.73799417e-17	-3.91018155e-16	-2.12889019e-16	-1.78129136e-16
4.36            	3.18301507e+00	1.59150754e+00	1.59150754e+00	1.24576199e+00	1.27217528e+00	-2.64132886e-02	6.49294284e-01	2.12754666e-16	-1.63840959e-17	-4.09764927e-16	-2.21266559e-16	-1.88498368e-16
4.37            	3.19670864e+00	1.59835432e+00	1.59835432e+00	1.39941152e+00	9.67640717e-01	4.31770803e-01	2.67934957e-01	2.16927152e-16	-1.44575499e-17	-4.24880441e-16	-2.26897771e-16	-1.97982671e-16
4.38            	3.20402471e+00	1.60201236e+00	1.60201236e+00	1.52109467e+00	1.00343812e+00	5.17656546e-01	2.42890789e-01	2.19934601e-16	-1.36005290e-17	-4.36075018e-16	-2.31638038e-16	-2.04436980e-16
4.39            	3.21341914e+00	1.60670957e+00	1.60670957e+00	1.60603783e+00	1.04373962e+00	5.62298211e-01	2.40720704e-01	2.21560716e-16	-1.33727283e-17	-4.43056117e-16	-2.34900787e-16	-2.08155330e-16
4.4             	3.22286618e+00	1.61143309e+00	1.61143309e+00	1.65072626e+00	1.10845505e+00	5.42271208e-01	2.83091923e-01	2.21852163e-16	-1.36822388e-17	-4.45491836e-16	-2.36428157e-16	-2.09063679e-16
4.41            	3.27749902e+00	1.63874951e+00	1.63874951e+00	1.06708912e+00	2.64303180e-01	8.02785940e-01	-2.69241380e-01	1.77265248e-16	-2.76674087e-17	-3.56218294e-16	-2.05776556e-16	-1.50441739e-16
4.42            	3.28445198e+00	1.64222599e+00	1.64222599e+00	9.91735395e-01	3.28928848e-01	6.62806547e-01	-1.66938850e-01	1.74261900e-16	-2.71516875e-17	-3.43008795e-16	-1.98656085e-16	-1.44352710e-16
4.43            	3.28599605e+00	1.64299802e+00	1.64299802e+00	8.82387249e-01	4.13620665e-01	4.68766585e-01	-2.75729598e-02	1.71494134e-16	-2.56353674e-17	-3.25128612e-16	-1.88199673e-16	-1.36928938e-16
4.44            	3.29612057e+00	1.64806028e+00	1.64806028e+00	7.43162166e-01	-1.92386529e-02	7.62400818e-01	-3.90819736e-01	1.68877013e-16	-2.24042293e-17	-3.03183074e-16	-1.73995766e-16	-1.29187307e-16
